Count,Title,Cost,Score,Description,Activity,Gain
3,Développeur passionné,1,1,Votre implication dans la communauté des développeurs facilite le recrutement.,RETROSPECTIVE,Vous payez une carte en moins pour former une équipe produit.
3,Praticien agile,1,1,Votre implication dans la communauté agile vous permet de tirer le meilleur parti des rencontres entre pairs.,CONFERENCE,Vous pouvez défausser des cartes de votre main à la place des cartes piochées.
3,Communication,1,1,La communication est une des valeurs de Extreme Programming,XP,Les valeurs sont les guides dans le cheminement vers la maturité agile.
3,Expérience utilisateur,2,1,Vous portez une attention particulière au métier des utilisateurs. ,DEPLOIEMENT,Vous recevez une carte supplémentaire lors d’un déploiement d’au moins deux produits.
3,Livraison en continu,2,1,Votre produit est en permanence dans un état prêt à être livré.,DEPLOIEMENT,Vous déployez un produit supplémentaire.
3,Dev Ops,2,1,L’absence de barrières entre vos équipes fluidifie l’ensemble du cycle produit.,RETROSPECTIVE,Vous pouvez payer la mise en place d’une équipe ou d’une action avec des produits encore non déployés.
3,Programmation en binôme,2,1,Le développement systématique en binômes fluidifie les échanges entre vos développeurs.,DEVELOPPEMENT,Vous piochez une carte lors d’un développement d’au moins deux produits.
3,Itérations courtes,2,1,Votre travail en itérations vous permet de changer souvent d’avis.,RETROSPECTIVE,Vous pouvez améliorer une équipe ou une action existante en ne payant que la différence de coût.
3,Feedback,2,2,Le feedback est une des valeurs de Extreme Programming,XP,Les valeurs sont les guides dans le cheminement vers la maturité agile.
3,Organisateur agile,3,2,Vous organisez des rencontres entre praticiens agiles ce qui vous permet de multiplier les échanges.,CONFERENCE,Vous conservez une carte supplémentaire parmi les cartes piochées.
3,RH agile,3,2,L’agilité de votre organisation interne augmente votre capacité d’action,LEADER,Vous pouvez avoir jusqu’à 10 cartes en mains lors du changement de meneur de jeu.
3,Retour d’expérience,3,2,Vous apprenez à mieux vous connaître en analysant l’impact de vos décisions.,RETROSPECTIVE,Vous piochez une carte après la mise en route d’une action d’amélioration.
3,Code propre,3,2,L’attention portée à la qualité de votre code vous permet de coder vite et bien.,DEVELOPPEMENT,Vous développez un produit supplémentaire.
3,Simplicité,3,3,La simplicité est une des valeurs de Extreme Programming,XP,Les valeurs sont les guides dans le cheminement vers la maturité agile.
3,Utilisateurs impliqués,4,2,Vous impliquez vos utilisateurs dans le développement de vos produits.,DEPLOIEMENT,Vous recevez une carte supplémentaire lors d’un déploiement.
3,Coach interne,4,2,Vous avez un coach en permanence disponible pour faire progresser vos équipes,RETROSPECTIVE,Vous payez une carte en moins pour mener une action d’amélioration.
2,Courage,4,4,Le courage est une des valeurs de Extreme Programming,XP,Les valeurs sont les guides dans le cheminement vers la maturité agile.
2,Vision produit,5,*,L’ensemble de votre stratégie est portée par une vision claire de vos produits.,THEEND,Votre score final est majoré de 25 %
2,Artisanat du logiciel,5,*,Vos développeurs sont animés par un professionalisme à toute épreuve.,THEEND,Chaque équipe produit vous rapporte deux points supplémentaires.
2,Sensei agile,5,*,Vous êtes passé maître dans l’art de faire progresser vos équipes.,THEEND,Chaque action d’amélioration vous rapporte un point supplémentaire.
2,Respect,5,*,Le respect est la 5ème valeur de Extreme Programming,THEEND,Vous doublez les points obtenus grâce aux autres valeurs Extreme Programming.
